person,gender,number,form
أنا,,ferd,أَرْمِي
نحن,,cem,نَرْمِي
أنتَ,muzekker,ferd,تَرْمِي
أنتِ,muennes,ferd,تَرْمِينَ
أنتما,,tesniye,تَرْمِيَانِ
أنتم,muzekker,cem,تَرْمُونَ
أنتنَّ,muennes,cem,تَرْمِينَ
هو,muzekker,ferd,يَرْمِي
هي,muennes,ferd,تَرْمِي
هما,,tesniye,يَرْمِيَانِ
هم,muzekker,cem,يَرْمُونَ
هنَّ,muennes,cem,يَرْمِينَ
