person,gender,number,form
أنا,,ferd,كَتَبْتُ
نحن,,cem,كَتَبْنَا
أنتَ,muzekker,ferd,كَتَبْتَ
أنتِ,muennes,ferd,كَتَبْتِ
أنتما,,tesniye,كَتَبْتُمَا
أنتم,muzekker,cem,كَتَبْتُمْ
أنتنَّ,muennes,cem,كَتَبْتُنَّ
هو,muzekker,ferd,كَتَبَ
هي,muennes,ferd,كَتَبَتْ
هما,,tesniye,كَتَبَا
هم,muzekker,cem,كَتَبُوا
هنَّ,muennes,cem,كَتَبْنَ
