person,gender,number,form
أنا,,ferd,
نحن,,cem,
أنتَ,muzekker,ferd,اُكْتُبْ
أنتِ,muennes,ferd,اُكْتُبِي
أنتما,,tesniye,اُكْتُبَا
أنتم,muzekker,cem,اُكْتُبُوا
أنتنَّ,muennes,cem,اُكْتُبْنَ
هو,muzekker,ferd,
هي,muennes,ferd,
هما,,tesniye,
هم,muzekker,cem,
هنَّ,muennes,cem,
