person,gender,number,form
أنا,,ferd,
نحن,,cem,
أنتَ,muzekker,ferd,اِرْمِ
أنتِ,muennes,ferd,اِرْمِي
أنتما,,tesniye,اِرْمِيَا
أنتم,muzekker,cem,اِرْمُوا
أنتنَّ,muennes,cem,اِرْمِينَ
هو,muzekker,ferd,
هي,muennes,ferd,
هما,,tesniye,
هم,muzekker,cem,
هنَّ,muennes,cem,
