mazi,muzari,masdar,ismAlFail,ismAlMafool,amr
خَرَجَ,يَخْرُجُ,خُرُوجٌ,خَارِجٌ,مَخْرُوجٌ,اُخْرُجْ
خَرَّجَ,يُخَرِّجُ,تَخْرِيجٌ,مُخَرِّجٌ,مُخَرَّجٌ,خَرِّجْ
خَارَجَ,يُخَارِجُ,مُخَارَجَةٌ / خِرَاجٌ,مُخَارِجٌ,مُخَارَجٌ,خَارِجْ
أَخْرَجَ,يُخْرِجُ,إِخْرَاجٌ,مُخْرِجٌ,مُخْرَجٌ,أَخْرِجْ
تَخَرَّجَ,يَتَخَرَّجُ,تَخَرُّجٌ,مُتَخَرِّجٌ,مُتَخَرَّجٌ,تَخَرَّجْ
تَخَارَجَ,يَتَخَارَجُ,تَخَارُجٌ,مُتَخَارِجٌ,مُتَخَارَجٌ,تَخَارَجْ
اِنْخَرَجَ,يَنْخَرِجُ,اِنْخِرَاجٌ,مُنْخَرِجٌ,مُنْخَرَجٌ,اِنْخَرِجْ
اِخْتَرَجَ,يَخْتَرِجُ,اِخْتِرَاجٌ,مُخْتَرِجٌ,مُخْتَرَجٌ,اِخْتَرِجْ
اِخْرَجَّ,يَخْرَجُّ,اِخْرِجَاجٌ,مُخْرَِجٌّ / مُخْرَجِلٌ,مُخْرَجٌّ / مُخْرَجَلٌ,اِخْرَجِلْ
اِسْتَخْرَجَ,يَسْتَخْرِجُ,اِسْتِخْرَاجٌ,مُسْتَخْرِجٌ,مُسْتَخْرَجٌ,اِسْتَخْرِجْ
