person,gender,number,form
أنا,,ferd,
نحن,,cem,
أنتَ,muzekker,ferd,مُدَّ
أنتِ,muennes,ferd,مُدِّي
أنتما,,tesniye,مُدَّا
أنتم,muzekker,cem,مُدُّوا
أنتنَّ,muennes,cem,امْدُدْنَ
هو,muzekker,ferd,
هي,muennes,ferd,
هما,,tesniye,
هم,muzekker,cem,
هنَّ,muennes,cem,
