person,gender,number,form
أنا,,ferd,رَمَيْتُ
نحن,,cem,رَمَيْنَا
أنتَ,muzekker,ferd,رَمَيْتَ
أنتِ,muennes,ferd,رَمَيْتِ
أنتما,,tesniye,رَمَيْتُمَا
أنتم,muzekker,cem,رَمَيْتُمْ
أنتنَّ,muennes,cem,رَمَيْتُنَّ
هو,muzekker,ferd,رَمَى
هي,muennes,ferd,رَمَتْ
هما,,tesniye,رَمَيَا
هم,muzekker,cem,رَمَوْا
هنَّ,muennes,cem,رَمَيْنَ
