mazi,muzari,masdar,ismAlFail,ismAlMafool,amr
فَعَلَ,يَفْعَلُ,فُعُولٌ,فَاعِلٌ,مَفْعُولٌ,اِفْعَلْ
فَعَّلَ,يُفَعِّلُ,تَفْعِيلٌ,مُفَعِّلٌ,مُفَعَّلٌ,فَعِّلْ
فَاعَلَ,يُفَاعِلُ,مُفَاعَلَةٌ / فِعَالٌ,مُفَاعِلٌ,مُفَاعَلٌ,فَاعِلْ
أَفْعَلَ,يُفْعِلُ,اِفْعَالٌ,مُفْعِلٌ,مُفْعَلٌ,أَفْعِلْ
تَفَعَّلَ,يَتَفَعَّلُ,تَفَعُّلٌ,مُتَفَعِّلٌ,مُتَفَعَّلٌ,تَفَعَّلْ
تَفَاعَلَ,يَتَفَاعَلُ,تَفَاعُلٌ,مُتَفَاعِلٌ,مُتَفَاعَلٌ,تَفَاعَلْ
اِنْفَعَلَ,يَنْفَعِلُ,اِنْفِعَالٌ,مُنْفَعِلٌ,مُنْفَعَلٌ,اِنْفَعِلْ
اِفْتَعَلَ,يَفْتَعِلُ,اِفْتِعَالٌ,مُفْتَعِلٌ,مُفْتَعَلٌ,اِفْتَعِلْ
اِفْعَلَّ,يَفْعَلُّ,اِفْعِلَالٌ,مُفْعِلٌّ / مُفْعَلِلٌّ,مُفْعَلٌّ / مُفْعَلَلٌ,اِفْعَلِلْ
