person,gender,number,form
أنا,,ferd,مَدَدْتُ
نحن,,cem,مَدَدْنَا
أنتَ,muzekker,ferd,مَدَدْتَ
أنتِ,muennes,ferd,مَدَدْتِ
أنتما,,tesniye,مَدَدْتُمَا
أنتم,muzekker,cem,مَدَدْتُمْ
أنتنَّ,muennes,cem,مَدَدْتُنَّ
هو,muzekker,ferd,مَدَّ
هي,muennes,ferd,مَدَّتْ
هما,,tesniye,مَدَّا
هم,muzekker,cem,مَدُّوا
هنَّ,muennes,cem,مَدَدْنَ
