tense,cem,tesniye,ferd,person
mazi,دَخَلْنَا,,دَخَلْتُ,1
mazi,دَخَلْتُمْ,دَخَلْتُمَا,دَخَلْتَ,2-muzekker
mazi,دَخَلْتُنَّ,دَخَلْتُمَا,دَخَلْتِ,2-muennes
mazi,دَخَلُوا,دَخَلَا,دَخَلَ,3-muzekker
mazi,دَخَلْنَ,دَخَلَتَا,دَخَلَتْ,3-muennes
mazi-manfi-ma,مَا دَخَلْنَا,,مَا دَخَلْتُ,1
mazi-manfi-ma,مَا دَخَلْتُمْ,مَا دَخَلْتُمَا,مَا دَخَلْتَ,2-muzekker
mazi-manfi-ma,مَا دَخَلْتُنَّ,مَا دَخَلْتُمَا,مَا دَخَلْتِ,2-muennes
mazi-manfi-ma,مَا دَخَلُوا,مَا دَخَلَا,مَا دَخَلَ,3-muzekker
mazi-manfi-ma,مَا دَخَلْنَ,مَا دَخَلَتَا,مَا دَخَلَتْ,3-muennes
mazi-manfi-lam,لَمْ نَدْخُلْ,,لَمْ أَدْخُلْ,1
mazi-manfi-lam,لَمْ تَدْخُلُوا,لَمْ تَدْخُلَا,لَمْ تَدْخُلْ,2-muzekker
mazi-manfi-lam,لَمْ تَدْخُلْنَ,لَمْ تَدْخُلَا,لَمْ تَدْخُلِي,2-muennes
mazi-manfi-lam,لَمْ يَدْخُلُوا,لَمْ يَدْخُلَا,لَمْ يَدْخُلْ,3-muzekker
mazi-manfi-lam,لَمْ يَدْخُلْنَ,لَمْ تَدْخُلَا,لَمْ تَدْخُلْ,3-muennes
muzari,نَدْخُلُ,,أَدْخُلُ,1
muzari,تَدْخُلُونَ,تَدْخُلَانِ,تَدْخُلُ,2-muzekker
muzari,تَدْخُلْنَ,تَدْخُلَانِ,تَدْخُلِينَ,2-muennes
muzari,يَدْخُلُونَ,يَدْخُلَانِ,يَدْخُلُ,3-muzekker
muzari,يَدْخُلْنَ,تَدْخُلَانِ,تَدْخُلُ,3-muennes
amr,لِنَدْخُلْ,,لِاَدْخُلْ,1
amr,لِتَدْخُلُوا,لِتَدْخُلَا,لِتَدْخُلْ,2-muzekker
amr,لِتَدْخُلْنَ,لِتَدْخُلَا,لِتَدْخُلِي,2-muennes
amr,اُدْخُلُوا,اُدْخُلَا,اُدْخُلْ,2-muzekker-modern
amr,اُدْخُلْنَ,اُدْخُلَا,اُدْخُلِي,2-muennes-modern
amr,لِيَدْخُلُوا,لِيَدْخُلَا,لِيَدْخُلْ,3-muzekker
amr,لِيَدْخُلْنَ,لِتَدْخُلَا,لِتَدْخُلْ,3-muennes
mustaqbal-qarib,سَنَدْخُلُ,,سَأَدْخُلُ,1
mustaqbal-qarib,سَتَدْخُلُونَ,سَتَدْخُلَانِ,سَتَدْخُلُ,2-muzekker
mustaqbal-qarib,سَتَدْخُلْنَ,سَتَدْخُلَانِ,سَتَدْخُلِينَ,2-muennes
mustaqbal-qarib,سَيَدْخُلُونَ,سَيَدْخُلَانِ,سَيَدْخُلُ,3-muzekker
mustaqbal-qarib,سَيَدْخُلْنَ,سَتَدْخُلَانِ,سَتَدْخُلُ,3-muennes
mustaqbal-baeed,سَوْفَ نَدْخُلُ,,سَوْفَ أَدْخُلُ,1
mustaqbal-baeed,سَوْفَ تَدْخُلُونَ,سَوْفَ تَدْخُلَانِ,سَوْفَ تَدْخُلُ,2-muzekker
mustaqbal-baeed,سَوْفَ تَدْخُلْنَ,سَوْفَ تَدْخُلَانِ,سَوْفَ تَدْخُلِينَ,2-muennes
mustaqbal-baeed,سَوْفَ يَدْخُلُونَ,سَوْفَ يَدْخُلَانِ,سَوْفَ يَدْخُلُ,3-muzekker
mustaqbal-baeed,سَوْفَ يَدْخُلْنَ,سَوْفَ تَدْخُلَانِ,سَوْفَ تَدْخُلُ,3-muennes
mustaqbal-manfi,لَنْ نَدْخُلَ,,لَنْ أَدْخُلَ,1
mustaqbal-manfi,لَنْ تَدْخُلُوا,لَنْ تَدْخُلَا,لَنْ تَدْخُلَ,2-muzekker
mustaqbal-manfi,لَنْ تَدْخُلْنَ,لَنْ تَدْخُلَا,لَنْ تَدْخُلِي,2-muennes
mustaqbal-manfi,لَنْ يَدْخُلُوا,لَنْ يَدْخُلَا,لَنْ يَدْخُلَ,3-muzekker
mustaqbal-manfi,لَنْ يَدْخُلْنَ,لَنْ تَدْخُلَا,لَنْ تَدْخُلَ,3-muennes
