person,gender,number,form
أنا,,ferd,أَمُدُّ
نحن,,cem,نَمُدُّ
أنتَ,muzekker,ferd,تَمُدُّ
أنتِ,muennes,ferd,تَمُدِّينَ
أنتما,,tesniye,تَمُدَّانِ
أنتم,muzekker,cem,تَمُدُّونَ
أنتنَّ,muennes,cem,تَمْدُدْنَ
هو,muzekker,ferd,يَمُدُّ
هي,muennes,ferd,تَمُدُّ
هما,,tesniye,يَمُدَّانِ
هم,muzekker,cem,يَمُدُّونَ
هنَّ,muennes,cem,يَمْدُدْنَ
